name,price,link
"Lenovo IdeaPad Slim 3i 15IAU7 Core i3 12th Gen 15.6"" FHD Laptop","64,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15iau7-core-i3-12th-gen-laptop
"Walton Passion BX510U Core i5 10th Gen 15.6"" FHD Laptop","64,550",https://www.startech.com.bd/walton-passion-bx510u-core-i5-10th-gen-laptop
"HP 15s-fq5786TU Core i3 12th Gen 15.6"" FHD Laptop","64,700",https://www.startech.com.bd/hp-15s-fq5786tu-core-i3-12th-gen-laptop
"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop with 256GB SSD+1TB HDD","59,500",https://www.startech.com.bd/asus-vivobook-15-x515ja-i5-10th-gen-fhd-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 8GB RAM 15.6"" FHD Laptop","65,500",https://www.startech.com.bd/asus-vivobook-15-x1502za-i3-12th-gen-fhd-laptop
"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 15.6"" OLED FHD Laptop","66,000",https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-fhd-laptop
"Lenovo K14 Core i3 11th Gen 14"" FHD Business Series Laptop","66,500",https://www.startech.com.bd/lenovo-k14-core-i3-11th-gen-laptop
"ASUS VivoBook 15 X515EA Core i5 11th Gen 15.6"" FHD Laptop","68,500",https://www.startech.com.bd/asus-vivobook-15-x515ea-i5-11th-gen-laptop
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 14"" FHD Laptop","69,000",https://www.startech.com.bd/asus-vivobook-14-x1402za-core-i3-12th-gen-fhd-laptop
"Asus Vivobook S15 S513EA Core i3 11th Gen 15.6"" OLED FHD Laptop","69,800",https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 15.6"" FHD Laptop","69,800",https://www.startech.com.bd/asus-vivobook-15-x1502za-core-i3-12th-gen-laptop
"Lenovo IdeaPad Slim 3i 14IRU8 Core i3 13th Gen 14"" FHD Laptop","70,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-14iru8-core-i3-13th-gen-laptop
"ASUS Vivobook 15 X1504VA-NJ260W Core i3 13th Gen 15.6"" FHD Laptop","70,800",https://www.startech.com.bd/asus-vivobook-15-x1504va-nj260w-core-i3-laptop
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Soft Lavender","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-soft-lavender
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Infinite Black","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-infinite-black
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Star Silver","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-star-silver
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Aqua Blue","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-aqua-blue
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Anchor Grey","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-anchor-grey
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Golden Matt Black","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-golden-matt-black
"ASUS Vivobook 15 M1502IA-EJ388W Ryzen 5 4600H 15.6"" FHD Laptop","71,000",https://www.startech.com.bd/asus-vivobook-15-m1502ia-ej388w-ryzen-5-laptop
